Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,1,1035000,2,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,32.0,-37.8079,144.9934,3.0,4019.0
3,1,1465000,4,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,32.0,-37.8093,144.9944,3.0,4019.0
4,1,1600000,5,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,32.0,-37.8072,144.9941,3.0,4019.0
3,1,1876000,2,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,32.0,-37.8024,144.9993,3.0,4019.0
2,1,1636000,2,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,32.0,-37.806,144.9954,3.0,4019.0
2,1,1097000,2,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,32.0,-37.801,144.9989,3.0,4019.0
3,1,1350000,5,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,32.0,-37.8085,144.9964,3.0,4019.0
2,3,750000,2,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,32.0,-37.8078,144.9965,3.0,4019.0
2,1,1310000,2,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,32.0,-37.809,144.9976,3.0,4019.0
3,1,1200000,2,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,32.0,-37.8056,144.993,3.0,4019.0
3,1,1176500,2,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,32.0,-37.8021,144.9965,3.0,4019.0
2,1,890000,2,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,32.0,-37.8011,145.0004,3.0,4019.0
4,1,1330000,1,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,32.0,-37.8073,144.9952,3.0,4019.0
